"sub_icb_loc_ons_code","sub_icb_loc_name","n_practices","mean_copd008_patients_receiving_intervention_percentage","mean_copd010_patients_receiving_intervention_percentage","mean_copd_overall_percentage"
"E38000254","NHS West Yorkshire ICB - X2C4Y",64,32.463764861932,68.8973223848929,50.84046875
"E38000255","NHS North East London ICB - A3A8R",273,48.2956097238225,63.6406812856098,55.804358974359
"E38000256","NHS North West London ICB - W2U3Z",351,38.9597812894838,53.1869225792201,45.7343428571429
"E38000257","NHS Shropshire, Telford and Wrekin ICB - M2L0M",51,40.2446230023995,50.3930979400428,45.3190196078431
"E38000258","NHS Birmingham and Solihull ICB - 15E",182,35.047763614152,62.8844734125458,49.0156593406593
"E38000259","NHS Black Country ICB - D2P2L",181,29.5680273742191,59.4981762534562,44.4103867403315
"E38000260","NHS Cambridgeshire and Peterborough ICB - 06H",88,31.2693591562004,58.8772377533087,45.0733333333333
"E38000261","NHS Derby and Derbyshire ICB - 15M",117,37.964700504658,64.0352860261369,51.0003418803419
"E38000262","NHS Northamptonshire ICB - 78H",69,36.3664281820185,55.1209606665871,45.7440579710145
"E38000263","NHS Greater Manchester ICB - 01Y",31,22.2969030085652,67.6134239714302,44.9558064516129
NA,NA,9193,NA,NA,NA
